549	125.21	179	657	139.67	151.8	105.504
748	132.26	185.8	354	125.21	158.6	106.857
3158	125.21	165.4	277	136.02	165.4	-2.73078
746	150.81	158.6	432	121.77	172.2	101.839
1203	150.81	151.8	861	147.18	185.8	-121.166
366	125.21	244.2	75	112.51	217	-177.755
918	143.48	158.6	566	128.67	179	103.864
1863	132.26	151.8	1222	139.67	185.8	24.6861
1086	150.81	165.4	718	128.67	179	101.788
1529	164.62	244.2	2225	121.77	151.8	-47.2113
1045	143.48	158.6	618	125.21	172.2	107.046
3235	150.81	282.2	348	143.48	329.8	-261.115
1022	164.62	165.4	606	147.18	138.2	-238.956
1249	125.21	165.4	511	115.44	158.6	-11.5625
994	136.02	172.2	292	147.18	185.8	106.684
422	121.77	185.8	264	150.81	172.2	103.967
715	147.18	158.6	421	115.44	172.2	105.375
1231	128.67	179	1226	150.81	179	-2.87217
1072	128.67	185.8	699	136.02	158.6	107.401
747	128.67	179	500	132.26	151.8	106.611
899	139.67	172.2	459	121.77	185.8	105.069
1780	147.18	257.8	1481	112.51	165.4	-134.507
846	121.77	185.8	561	136.02	165.4	105.812
673	147.18	151.8	646	125.21	172.2	104.397
1204	132.26	223.8	406	121.77	210.2	-157.258
1525	150.81	158.6	650	143.48	172.2	-25.518
1115	132.26	179	431	132.26	158.6	106.619
501	132.26	185.8	559	154.5	151.8	95.9019
1847	161.37	223.8	857	112.51	165.4	-46.171
961	115.44	172.2	685	132.26	158.6	9.68118
433	150.81	138.2	560	121.77	179	105.159
3317	157.95	257.8	2659	112.51	172.2	-195.709
1122	136.02	172.2	557	150.81	158.6	104.626
653	125.21	185.8	316	147.18	165.4	105.292
888	136.02	172.2	303	150.81	158.6	104.509
1743	125.21	165.4	720	132.26	165.4	-106.449
2018	143.48	172.2	1804	136.02	151.8	-41.2181
137	136.02	223.8	971	136.02	158.6	105.602
320	147.18	230.6	364	147.18	172.2	104.878
550	125.21	151.8	563	143.48	172.2	103.679
1001	136.02	172.2	312	128.67	138.2	103.65
721	136.02	185.8	602	143.48	165.4	105.934
1228	128.67	185.8	435	139.67	172.2	107.398
986	139.67	138.2	533	125.21	158.6	-39.7964
1355	136.02	179	564	136.02	165.4	102.265
912	139.67	179	596	132.26	158.6	108.489
1147	143.48	172.2	273	136.02	158.6	105.888
1007	125.21	165.4	385	132.26	185.8	107.192
1395	136.02	172.2	944	147.18	151.8	-0.109689
357	112.51	151.8	529	150.81	179	106.268
1327	157.95	145	479	150.81	158.6	-128.913
729	139.67	158.6	577	128.67	179	105.842
1130	128.67	158.6	474	136.02	172.2	107.658
1193	132.26	210.2	680	139.67	230.6	-91.428
741	147.18	158.6	793	132.26	185.8	105.438
678	132.26	185.8	731	125.21	158.6	106.874
664	136.02	185.8	562	143.48	151.8	105.532
2043	112.51	151.8	2055	118.52	185.8	-82.1428
1040	147.18	172.2	485	128.67	185.8	106.643
1224	150.81	158.6	1206	136.02	179	-8.95607
648	136.02	145	450	161.37	165.4	11.9068
555	121.77	165.4	561	136.02	185.8	107.048
1283	136.02	151.8	474	125.21	165.4	-50.0811
618	128.67	172.2	459	139.67	145	103.047
1304	121.77	151.8	754	112.51	165.4	-138.121
802	128.67	165.4	504	150.81	179	106.158
1389	147.18	151.8	714	139.67	172.2	0.34613
1115	139.67	179	351	125.21	165.4	106.973
490	128.67	179	207	132.26	172.2	103.466
931	139.67	172.2	306	147.18	158.6	103.18
1300	143.48	172.2	625	161.37	185.8	-19.5808
1100	132.26	172.2	591	139.67	151.8	105.324
2604	115.44	230.6	532	112.51	145	-152.768
2379	161.37	151.8	2232	125.21	172.2	-99.4526
1031	143.48	172.2	838	125.21	185.8	106.754
1037	128.67	172.2	276	139.67	230.6	107.418
284	136.02	230.6	998	132.26	172.2	106.656
674	161.37	237.4	2309	112.51	145	-93.5675
2165	157.95	158.6	1157	132.26	172.2	-25.4018
816	143.48	165.4	386	121.77	179	102.318
563	154.5	179	385	128.67	165.4	106.123
624	125.21	185.8	601	150.81	172.2	106.325
626	139.67	230.6	561	115.44	210.2	-2.6791
1360	115.44	210.2	514	121.77	223.8	-192.03
827	150.81	158.6	590	136.02	185.8	104.949
1376	143.48	172.2	697	157.95	151.8	-53.8796
1180	128.67	158.6	1036	136.02	179	50.2306
207	118.52	210.2	940	139.67	172.2	105.172
698	139.67	145	708	128.67	172.2	66.7194
2907	115.44	158.6	454	164.62	172.2	-27.8799
3286	115.44	230.6	540	143.48	257.8	-193.015
910	150.81	185.8	589	128.67	172.2	104.447
449	115.44	179	369	150.81	185.8	107.759
847	143.48	179	304	121.77	223.8	104.849
780	150.81	151.8	645	128.67	172.2	106.117
869	154.5	172.2	383	132.26	172.2	105.828
604	121.77	172.2	598	139.67	158.6	86.5289
483	150.81	185.8	341	125.21	179	103.133
1347	136.02	172.2	1159	150.81	151.8	-255.769
1257	147.18	158.6	838	136.02	185.8	42.4408
651	150.81	179	371	125.21	158.6	103.857
2421	115.44	257.8	1609	112.51	145	-192.709
714	132.26	151.8	599	147.18	179	101.842
1125	147.18	172.2	902	136.02	145	-91.7626
657	150.81	172.2	548	125.21	185.8	106.947
983	115.44	185.8	339	128.67	172.2	70.6515
1067	136.02	210.2	262	125.21	223.8	-85.1647
669	121.77	185.8	423	136.02	179	107.48
643	136.02	151.8	390	164.62	185.8	105.137
1201	132.26	172.2	365	136.02	179	103.793
2560	128.67	185.8	1204	115.44	158.6	-26.748
683	132.26	230.6	329	147.18	145	80.4259
153	115.44	251	1992	115.44	138.2	-118.534
1342	125.21	151.8	994	139.67	172.2	-72.764
998	128.67	172.2	802	147.18	185.8	107.047
1032	128.67	185.8	290	115.44	172.2	67.2144
849	132.26	158.6	708	150.81	185.8	103.05
1057	121.77	210.2	532	115.44	223.8	-214.975
596	143.48	210.2	301	121.77	185.8	106.968
1132	128.67	172.2	556	139.67	185.8	104.716
760	161.37	165.4	348	139.67	179	64.371
592	125.21	179	422	132.26	158.6	106.098
850	128.67	158.6	666	143.48	179	105.475
1034	139.67	179	271	128.67	165.4	106.637
559	147.18	151.8	387	136.02	217	104.472
1785	115.44	158.6	1490	143.48	145	-21.667
828	125.21	179	427	147.18	165.4	102.816
1071	143.48	151.8	887	157.95	179	-201.355
1071	139.67	158.6	479	128.67	179	106.503
1400	147.18	138.2	926	128.67	151.8	-196.411
650	150.81	151.8	561	136.02	185.8	104.264
623	132.26	151.8	668	147.18	172.2	103.638
636	125.21	165.4	506	147.18	179	105.883
1024	125.21	185.8	635	147.18	172.2	107.855
1073	139.67	151.8	560	121.77	138.2	-41.8984
1866	121.77	257.8	1671	112.51	145	-93.1611
1820	150.81	251	846	112.51	138.2	-10.1369
