1389	132.61	68.24	-278.973
2670	136.15	175.22	98.6522
4739	147.04	148.78	-153.831
2682	136.15	175.22	98.6521
2706	136.15	175.22	96.7198
343	132.61	175.22	29.7477
4875	129.15	175.22	-187.776
2305	164.36	13.57	-132.391
4887	139.76	191.93	-188.976
2628	147.04	157.57	-16.2762
2167	136.15	229.57	-106.189
2666	139.76	175.22	96.8675
631	139.76	263.93	-244.265
189	132.61	175.22	-168.18
2967	136.15	175.22	99.4618
2666	139.76	175.22	94.0499
1701	132.61	175.22	-85.4789
5481	143.4	166.43	128.694
1883	132.61	132.07	-178.544
6015	136.15	183.76	111.251
2025	150.66	175.22	-14.2697
1603	132.61	175.22	-86.7276
2114	139.76	148.78	-11.7952
2828	136.15	175.22	95.9078
2640	139.76	175.22	93.3403
3262	136.15	175.22	-252.77
4215	139.76	157.57	-120.39
2716	136.15	183.76	97.3517
1793	150.66	157.57	-13.2302
3614	132.61	191.93	-52.0863
2855	139.76	175.22	95.0578
5634	132.61	175.22	-96.7413
4533	129.15	140.24	-263.014
2277	139.76	191.93	-12.3199
1123	157.71	148.78	-239.62
6068	150.66	183.76	-51.0499
2721	139.76	183.76	93.9798
2782	136.15	175.22	98.2248
1188	129.15	220.78	-268.299
1541	143.4	276.07	-199.971
4920	122.58	148.78	-46.4918
2774	136.15	175.22	99.8014
2443	132.61	204.07	-12.0179
1222	147.04	255.76	-196.27
2233	132.61	229.57	-264.696
2193	150.66	175.22	-12.1432
268	132.61	175.22	-166.436
2420	136.15	166.43	-12.0895
2661	136.15	175.22	95.4871
6429	136.15	191.93	-52.4871
3531	147.04	148.78	-109.287
1988	147.04	255.76	-195.97
1953	154.22	148.78	-177.088
2202	122.58	183.76	-11.3027
2769	139.76	183.76	96.5537
2341	129.15	183.76	-14.7463
2842	136.15	175.22	97.8033
2546	139.76	183.76	95.8555
750	139.76	140.24	-23.4032
2553	139.76	183.76	94.2189
772	119.49	191.93	-146.934
172	136.15	175.22	-100.688
1996	143.4	204.07	-16.7683
1233	136.15	175.22	-187.006
1820	136.15	175.22	-87.073
729	154.22	132.07	-168.142
83	139.76	157.57	-32.0916
4204	136.15	148.78	133.593
921	139.76	310.43	-208.673
419	136.15	175.22	-35.0224
895	119.49	157.57	-274.135
5309	150.66	204.07	-132.424
396	139.76	157.57	-163.968
3066	129.15	238.43	-131.448
4226	147.04	183.76	-141.403
4879	132.61	175.22	-192.785
5128	143.4	148.78	64.4467
2621	136.15	183.76	97.0112
1120	147.04	292.78	-226.32
2783	139.76	175.22	95.0202
2644	139.76	175.22	97.1683
718	161.09	348.07	-178.052
3780	139.76	204.07	131.151
4118	136.15	175.22	-270.718
1973	154.22	191.93	-14.9619
2264	136.15	157.57	-235.063
1507	125.8	76.78	-207.426
1834	122.58	76.78	-202.661
3140	129.15	220.78	-206.3
6524	136.15	175.22	-20.0295
5840	132.61	191.93	-22.8342
2646	139.76	175.22	93.6652
4465	139.76	157.57	-155.291
1554	147.04	157.57	-1.42494
2565	147.04	183.76	-13.49
1796	147.04	85.57	-257.015
2404	125.8	191.93	-223.503
2618	139.76	175.22	93.4664
4132	157.71	183.76	-235.439
1228	161.09	103.22	-202.816
324	139.76	157.57	32.3272
1721	157.71	140.24	-17.5792
2896	150.66	157.57	-44.9181
1953	132.61	175.22	-84.5095
2741	122.58	183.76	-41.3562
1557	113.75	204.07	-222.026
1334	150.66	175.22	-217.744
2946	136.15	183.76	97.6956
2644	122.58	247.22	-122.583
2813	136.15	183.76	97.9697
4043	150.66	175.22	-121.943
1507	143.4	148.78	-175.968
1939	125.8	191.93	-196.703
5108	129.15	204.07	69.2976
1978	132.61	310.43	-197.805
2514	139.76	175.22	92.8861
2106	129.15	319.22	-240.189
3394	129.15	140.24	-149.85
2693	122.58	183.76	-14.5471
2894	139.76	175.22	94.8232
4065	161.09	132.07	-142.118
2108	125.8	191.93	-12.791
745	129.15	47.93	-256.977
526	157.71	255.76	-56.4617
3319	143.4	157.57	-275.694
2788	139.76	183.76	97.1974
2615	129.15	175.22	-15.3144
4882	113.75	175.22	-254.038
2629	125.8	183.76	-14.7607
2923	136.15	183.76	98.775
