1610	139	217	0	0	158	0	0	172	102.227
1807	118	223	35	125	158	686	139	1	46.7011
245	136	172	755	143	1	590	121	1	106.568
668	125	165	76	161	210	723	132	1	107.06
1018	132	179	49	132	210	350	143	1	103.633
849	132	244	246	164	165	0	0	1	104.731
610	121	165	2089	147	145	0	0	165	19.9615
135	125	107	804	128	151	2463	143	1	-39.8198
107	128	165	850	125	1	572	147	1	105.47
791	125	179	445	147	1	249	147	1	104.937
983	139	354	546	115	165	0	0	1	68.2646
492	143	251	945	125	172	0	0	172	106.774
52	147	165	857	147	1	676	121	1	104.858
374	154	179	801	132	138	0	0	179	102.503
102	132	172	572	147	1	0	0	1	106.362
807	121	185	321	143	1	180	128	1	101.644
2489	147	217	1098	125	151	0	0	0	-23.4953
709	143	179	677	118	1	161	147	1	105.956
121	115	113	407	121	237	3304	132	1	-43.7755
1925	154	244	530	112	165	0	0	1	32.5876
130	136	158	637	128	185	586	136	1	107.746
924	143	210	76	112	172	590	128	1	106.305
373	143	172	73	121	179	1074	128	1	105.593
913	139	210	427	132	185	0	0	1	104.207
516	139	210	50	132	172	799	128	1	106.23
685	132	217	151	139	151	784	115	1	84.2796
95	164	179	350	121	158	1068	136	1	107.241
790	136	165	477	128	107	0	0	165	105.719
443	147	244	918	128	179	0	0	179	105.468
1091	139	179	34	128	172	262	132	1	103.435
542	125	151	87	125	237	2513	118	1	-9.35952
152	150	165	1101	136	1	185	125	1	106.757
697	136	179	452	125	1	153	143	1	103.076
475	143	151	883	139	185	0	0	1	103.258
585	147	223	500	128	158	0	0	1	104.969
669	121	185	755	147	113	0	0	1	105.182
1040	132	244	557	136	158	0	0	1	106.92
309	161	185	335	121	1	0	0	1	106.852
1041	143	223	243	136	165	0	0	0	103.272
976	112	179	99	139	158	777	150	1	79.6495
999	132	179	29	125	210	400	139	1	106.426
325	161	172	680	143	1	334	115	1	106.645
501	139	210	959	125	113	0	0	1	107.744
455	132	244	1128	143	179	0	0	179	104.308
392	143	217	726	139	179	0	0	1	102.064
2791	128	185	397	132	107	0	0	185	-12.1964
106	115	66	780	125	158	2123	115	1	-10.3388
1053	136	172	85	125	1	0	0	1	107.42
845	139	172	260	128	230	176	118	1	106.901
1136	128	179	242	136	1	215	143	1	105.392
811	136	179	288	112	1	293	147	1	104.775
196	136	172	734	136	1	530	143	1	103.429
850	147	217	206	132	158	0	0	0	104.275
527	128	217	464	139	113	0	0	1	105.952
184	112	172	652	132	1	415	157	1	103.822
720	139	172	908	121	185	0	0	1	92.7125
58	143	172	216	128	158	918	143	1	102.13
3785	112	223	152	136	107	0	0	107	-56.9298
242	154	165	924	125	1	469	143	1	105.489
680	136	244	656	125	185	0	0	185	106.796
340	139	237	389	132	158	0	0	1	103.1
798	143	210	565	128	113	0	0	1	104.267
365	125	165	912	132	86	0	0	1	106.3
467	128	138	161	118	251	2303	115	1	-11.4889
380	161	165	373	136	1	0	0	1	106.532
85	132	179	747	128	158	850	136	1	106.259
915	121	185	52	161	179	567	143	1	104.783
158	143	172	759	143	1	473	118	1	84.852
666	147	230	727	125	151	0	0	151	106.727
497	154	185	798	125	165	0	0	1	105.354
835	147	230	732	125	172	0	0	172	107.561
684	147	230	754	125	179	0	0	179	106.35
365	147	185	1085	136	113	0	0	185	105.478
372	143	165	577	125	230	427	150	1	104.56
1466	132	165	548	143	185	0	0	185	106.448
631	147	230	889	132	138	0	0	1	106.616
764	139	165	208	125	179	643	128	1	106.099
1071	115	217	849	136	100	0	0	100	41.3016
813	136	244	539	128	185	0	0	0	107.766
509	143	179	1135	128	100	0	0	1	109.529
428	136	185	588	132	1	381	139	1	103.43
199	125	165	1014	143	1	272	125	1	105.474
688	139	185	306	112	1	234	147	1	103.99
159	118	100	2035	125	217	555	132	1	12.3156
2153	157	244	548	118	151	0	0	151	23.4383
419	143	165	200	118	185	954	128	1	106.135
178	136	165	1048	132	237	254	136	1	105.592
715	147	230	621	121	172	0	0	1	106.119
692	136	244	650	121	158	0	0	1	107.317
652	121	172	627	147	1	209	150	1	106.701
840	121	172	461	143	1	148	161	1	106.378
42	115	179	923	139	158	216	143	1	103.552
273	128	172	42	150	185	1081	132	1	105.306
582	136	223	523	143	185	0	0	185	106.52
278	136	257	824	128	165	0	0	1	104.686
530	128	210	265	154	1	0	0	1	106.714
802	125	172	68	150	210	697	139	1	104.176
2460	112	251	15	121	138	716	118	1	-82.3507
3649	150	237	41	128	1	0	0	1	-49.1013
320	128	158	87	161	217	2157	118	1	34.4081
554	143	172	556	150	1	190	118	1	107.296
768	121	251	605	150	172	0	0	1	103.75
296	164	172	1050	132	1	94	125	1	106.579
659	147	185	510	132	1	260	125	1	105.333
570	136	179	776	132	158	0	0	1	104.722
1072	136	172	216	121	100	0	0	1	106.386
70	143	172	423	125	158	991	143	1	105.243
1020	150	179	502	125	113	0	0	113	103.109
558	136	237	1018	132	185	0	0	1	106.351
881	121	244	2485	139	172	0	0	0	-11.0718
323	161	165	745	136	179	133	121	1	106.696
2786	112	165	446	121	79	0	0	165	-27.4546
711	139	158	609	139	113	0	0	158	102.817
886	150	185	460	125	145	0	0	145	106.285
244	121	172	79	161	185	958	139	1	104.893
1856	118	223	11	147	1	0	0	1	38.0428
148	118	165	841	150	1	497	125	1	103.749
2760	112	244	213	136	145	0	0	145	-15.166
63	128	165	169	125	172	1000	139	1	107.442
876	132	210	691	139	100	0	0	100	103.527
446	132	244	1029	136	158	0	0	158	104.478
731	143	165	571	139	179	0	0	179	106.335
205	157	172	833	139	1	370	115	1	106.471
2274	121	217	526	139	107	0	0	1	6.36643
1102	118	244	93	115	151	720	139	1	57.8726
710	139	165	490	125	185	0	0	185	106.943
795	128	179	455	147	151	0	0	1	107.436
599	136	237	709	128	179	0	0	1	103.682
838	128	185	619	143	100	0	0	1	104.93
479	147	172	42	128	185	710	125	1	105.02
193	143	217	1011	139	158	0	0	1	103.718
800	136	210	293	121	165	0	0	1	104.873
1042	128	172	68	128	210	543	136	1	106.584
242	136	210	1983	143	172	0	0	1	32.7751
1195	132	257	331	128	165	0	0	1	106.54
133	147	158	363	143	172	789	132	1	104.172
855	128	172	394	132	151	0	0	172	106.785
748	121	172	688	143	86	0	0	1	104.683
802	143	179	510	118	1	167	157	1	103.762
13	118	151	462	143	172	736	132	1	102.796
133	161	165	944	139	1	558	118	1	106.108
2528	115	158	48	132	230	942	118	1	-24.407
43	125	172	392	115	86	1789	154	1	35.238
1107	128	179	407	143	1	193	121	1	106.979
577	147	185	476	121	113	0	0	1	105.232
140	121	151	703	128	179	768	139	1	105.831
860	143	179	396	125	158	0	0	179	104.485
912	125	179	227	136	1	172	150	1	107.694
358	121	151	3566	118	107	0	0	151	-66.8285
525	136	151	743	125	172	0	0	1	106.607
537	125	282	980	136	179	0	0	1	106.156
119	121	151	3080	115	237	181	154	1	-15.7218
1968	115	302	226	115	158	1248	118	1	-47.3514
523	143	185	381	132	1	0	0	1	107.051
136	164	179	695	118	1	550	147	1	106.376
1232	136	185	394	132	86	0	0	86	104.536
570	128	172	1006	136	113	0	0	1	106.208
9	125	179	591	139	151	780	132	1	103.6
126	147	179	330	125	158	977	132	1	91.6843
409	150	138	860	125	185	0	0	138	106.851
326	143	179	2652	115	113	0	0	179	12.1534
374	143	210	365	118	1	0	0	1	106.663
792	143	179	437	115	1	211	132	1	106.336
137	139	165	515	125	1	322	147	1	105.756
627	139	237	854	132	185	0	0	1	105.155
784	147	172	578	139	1	211	121	1	105.202
661	150	210	547	132	172	0	0	172	101.944
531	132	217	349	132	172	0	0	1	103.704
122	136	165	1261	132	1	317	125	1	83.8638
729	139	172	457	143	158	0	0	1	104.108
531	132	172	367	143	1	187	125	1	106.992
730	121	172	462	147	1	138	143	1	105.41
1015	136	185	21	125	1	0	0	1	107.044
895	121	179	578	147	1	168	154	1	105.363
1046	132	230	404	143	165	0	0	1	105.056
2483	147	230	435	121	179	0	0	1	19.1961
253	143	165	459	143	172	604	118	1	106.921
881	139	230	479	132	158	0	0	0	105.667
1565	143	179	824	118	73	0	0	179	36.381
1413	136	230	354	147	158	0	0	0	102.409
775	143	185	46	132	1	0	0	1	106.637
21	125	113	192	112	172	3205	136	1	-25.3191
236	128	179	1180	136	1	487	115	1	76.946
227	128	165	917	147	1	446	125	1	104.39
67	121	165	1101	132	1	287	143	1	105.722
852	136	165	499	150	185	0	0	1	105.486
127	157	172	1106	128	1	409	143	1	103.033
66	154	172	2806	128	251	982	128	1	-25.8906
944	139	244	620	128	151	0	0	1	104.739
495	128	230	1013	143	165	0	0	1	105.836
1022	128	244	498	147	165	0	0	1	102.574
448	136	172	1062	121	113	0	0	1	107.968
492	128	172	50	125	210	630	143	1	105.794
487	143	179	498	132	165	0	0	179	106.095
783	118	179	580	147	1	165	136	1	106.972
600	147	257	815	125	158	0	0	1	102.548
440	121	179	106	132	172	847	139	1	107.525
295	147	179	931	139	107	0	0	179	104.658
1931	118	257	613	125	145	0	0	1	14.4697
644	128	165	395	164	185	0	0	165	105.035
496	139	151	2528	118	107	0	0	151	2.61952
756	128	179	451	136	158	0	0	1	104.319
635	157	79	315	132	1	0	0	1	41.8292
575	139	251	818	132	185	0	0	1	103.089
850	132	244	500	136	179	0	0	1	102.529
422	139	210	83	136	172	746	139	1	102.519
2147	132	230	536	125	113	0	0	113	30.1531
695	143	172	439	118	100	0	0	1	106.807
2108	112	217	737	128	113	0	0	113	25.3865
71	115	158	972	150	1	243	128	1	102.01
796	143	185	41	132	172	457	121	1	105.442
611	147	217	544	136	179	0	0	179	102.621
791	143	185	585	139	165	0	0	1	104.235
