706	139.76	148.78	323	157.71	191.93	-194.73
55	122.58	148.78	237	154.22	175.22	-282.558
2297	119.49	183.76	669	147.04	166.43	-13.8442
2249	139.76	191.93	308	129.15	148.78	-16.3943
1804	154.22	212.24	1127	113.75	175.22	-11.4841
916	125.8	140.24	523	154.22	175.22	-162.354
2110	125.8	191.93	612	147.04	157.57	-14.066
1559	113.75	191.93	1137	157.71	157.57	-14.3151
1169	150.66	204.07	1540	113.75	157.57	-13.9175
2340	132.61	204.07	565	113.75	132.07	-10.9217
2199	147.04	157.57	541	122.58	183.76	-16.0491
1877	116.54	191.93	913	150.66	157.57	-12.8427
2348	143.4	191.93	381	122.58	175.22	-13.5806
1877	157.71	148.78	824	116.54	191.93	-16.7839
2170	119.49	183.76	675	150.66	148.78	-12.2569
2281	136.15	191.93	436	129.15	148.78	-12.1956
1007	157.71	255.76	1436	113.75	175.22	-171.036
1964	154.22	191.93	815	116.54	166.43	-12.3665
2213	154.22	247.22	538	113.75	191.93	-288.003
908	147.04	220.78	2037	113.75	157.57	-35.2568
1778	116.54	191.93	923	150.66	148.78	-13.113
2194	125.8	191.93	624	147.04	157.57	-13.5503
2335	129.15	191.93	381	143.4	175.22	-13.7556
2503	154.22	132.07	470	116.54	183.76	-212.175
2707	132.61	191.93	369	125.8	148.78	-28.7371
1971	147.04	148.78	689	116.54	191.93	-13.6447
1855	116.54	191.93	771	150.66	157.57	-13.4729
1312	150.66	204.07	1515	113.75	157.57	-14.9814
2103	129.15	191.93	571	136.15	140.24	-14.8821
2018	143.4	166.43	332	113.75	183.76	11.4785
4110	161.09	157.57	1234	125.8	183.76	135.754
1030	157.71	212.24	1541	113.75	166.43	-13.1492
2394	147.04	191.93	494	119.49	175.22	-12.7615
1586	161.09	157.57	1238	113.75	175.22	-9.94599
2064	122.58	166.43	643	154.22	191.93	-13.5722
1314	113.75	132.07	1511	154.22	191.93	-12.8342
1741	113.75	166.43	1003	154.22	191.93	-14.2043
2179	122.58	191.93	550	143.4	157.57	-12.3847
2035	119.49	191.93	960	147.04	140.24	-13.6637
919	154.22	140.24	532	136.15	166.43	-165.774
